,WEEK #,COCKTAIL
Juice [Lime],14,Pegu Club [guest post by /u/ClamydiaDellArte]
Juice [Lime],18,Dark ‘n Stormy
Juice [Lime],25,Angostura Sour [guest post by /u/montreal-gloryhole]
Juice [Lime],27,Daiquiri
Juice [Lime],28,Mai Tai
Juice [Lime],30,Southside and Southern Exposure
Juice [Lime],40,Zombie [guest post by /u/bitcheslovebanjos]
Juice [Lime],70,Singapore Sling
Juice [Lime],74,Chartreuse Swizzle
Juice [Lime],76,Gimlet
Juice [Lime],80,Mojito
Juice [Lime],83,Tiki Edition - Three Dots & A Dash
Juice [Lime],84,Tiki Edition – Hotel Nacional Special
Juice [Lime],85,Tiki Edition – Jungle Bird
Juice [Lime],86,Tiki Edition – Royal Bermuda Yacht Club [guest post by /u/gregbenson314]
Juice [Lime],87a,Tiki Edition – Queen’s Park Swizzle
Juice [Lime],87b,Tiki Edition – 151 Swizzle
Juice [Lime],88,Tiki Edition – Navy Grog
Juice [Lime],89,Industry Sour
Juice [Lime],90,Sloe Gin Fizz
Juice [Lime],92,Charlie Chaplin
Juice [Lime],102,Admiral Russell's Punch
Juice [Lime],111,Rickey [guest post by /u/GWCad]
Juice [Lime],118a,Pineapple Daiquiri
Juice [Lime],118b,Pineapple Express
Juice [Lime],119,Golden Beautiful
Juice [Orange],28,Mai Tai
Juice [Orange],32,Bee’s Knees
Juice [Orange],39,Sherry Cobbler
Juice [Orange],40,Zombie [guest post by /u/bitcheslovebanjos]
Juice [Orange],56,Ward Eight
Juice [Orange],59,Blood and Sand
Juice [Orange],65,Bronx & Income Tax
Juice [Orange],83,Tiki Edition - Three Dots & A Dash
Juice [Orange],88,Tiki Edition – Navy Grog
Juice [Pineapple],40,Zombie [guest post by /u/bitcheslovebanjos]
Juice [Pineapple],68,Jake Barnes
Juice [Pineapple],70,Singapore Sling
Juice [Pineapple],72,Mary Pickford
Juice [Pineapple],74,Chartreuse Swizzle
Juice [Pineapple],84,Tiki Edition – Hotel Nacional Special
Juice [Pineapple],85,Tiki Edition – Jungle Bird
Juice [Pineapple],91,Algonquin [guest post by /u/Spodyody]
Juice [Watermelon],78,Melon Stand
Kina Lillet,3,Corpse Reviver No. 2
Kina Lillet,11,Negroni
Kina Lillet,45,Harvest Moon
Kina Lillet,67,20th Century [guest post by /u/whaleodile]
Kina Lillet,77,Hoop La!
Maraschino Liquor,2,The Manhattan
Maraschino Liquor,15,Martinez
Maraschino Liquor,16,Final Ward
Maraschino Liquor,26, Improved Whiskey Cocktail
Maraschino Liquor,36,Armistice
Maraschino Liquor,39,Sherry Cobbler
Maraschino Liquor,53,Astor Hotel Special [guest post by /u/bitcheslovebanjos]
Maraschino Liquor,72,Mary Pickford
Maraschino Liquor,99,Brooklyn [guest post by /u/bitcheslovebanjos]
Maraschino Liquor,104a,Vintage Manhattan
Milk,6,Ramos Gin Fizz
Milk,49,Eggnog
Milk,50,Hot Milk Punch
Milk [Sweet Cream],6,Ramos Gin Fizz
Mint,30,Southside and Southern Exposure
Mint,56,Ward Eight
Mint,69,Mint Julep [guest post by /u/GWCad]
Mint,87a,Tiki Edition – Queen’s Park Swizzle
Mix [Vintage Manhattan],104a,Vintage Manhattan
Nutmeg,49,Eggnog
Nutmeg,50,Hot Milk Punch
Nutmeg,87b,Tiki Edition – 151 Swizzle
Orange Flower Water,6,Ramos Gin Fizz
Pear Liquor,121,Little Miss Annabelle
Pernod,67,20th Century [guest post by /u/whaleodile]
Pernod,87b,Tiki Edition – 151 Swizzle
Pimm's No. 1 Cup,17,Pimm’s Cup
Pinapple Gum,91,Algonquin [guest post by /u/Spodyody]
Pineapple,39,Sherry Cobbler
Raspberry Preserves,24,Clover Club
Rum [Agricole],118b,Pineapple Express
Rum [Agricole],83,Tiki Edition - Three Dots & A Dash
Rum [Black Strap],85,Tiki Edition – Jungle Bird
Rum [Black Strap],112,Old Ironsides
Rum [Dark],50,Hot Milk Punch
Rum [Dark],103,Hot Toddy
Rum [Guyanese Aged],40,Zombie [guest post by /u/bitcheslovebanjos]
Rum [Guyanese Aged],75a,Bumbo
Rum [Guyanese Aged],75b,Rum Manhattan
Rum [Guyanese Aged],83,Tiki Edition - Three Dots & A Dash
Rum [Guyanese Aged],88,Tiki Edition – Navy Grog
Rum [Guyanese Aged],87a,Tiki Edition – Queen’s Park Swizzle
Rum [Guyanese Overproof],87b,Tiki Edition – 151 Swizzle
Rum [Jamaican Dark],18,Dark ‘n Stormy
Rum [Jamaican Dark],40,Zombie [guest post by /u/bitcheslovebanjos]
Rum [Jamaican Dark],85,Tiki Edition – Jungle Bird
Rum [Jamaican Dark],88,Tiki Edition – Navy Grog
Rum [Jamaican Gold],88,Tiki Edition – Navy Grog
Rum [Pineapple],118a,Pineapple Daiquiri
Rum [Pineapple],118b,Pineapple Express
Rum [Puerto Rican Aged],107,Latin Quarter
Rum [Puerto Rican Gold],84,Tiki Edition – Hotel Nacional Special
Rum [Puerto Rican Gold],40,Zombie [guest post by /u/bitcheslovebanjos]
Rum [Puerto Rican White],58,Between the Sheets [guest post by /u/GWCad]
Rum [Puerto Rican White],40,Zombie [guest post by /u/bitcheslovebanjos]
Rum [Puerto Rican White],48,Twelve Mile Limit
Rum [Puerto Rican White],64,Brass Rail
Rum [Puerto Rican White],72,Mary Pickford
Rum [Puerto Rican White],80,Mojito
Rum [Puerto Rican White],88,Tiki Edition – Navy Grog
Rum [Smith & Cross],116,Kingston Negroni
Rum [Trinidadian Gold],112,Old Ironsides
Scotch,1,Bobby Burns
Scotch,34,Cameron’s Kick
Scotch,44,Godfather
Scotch,59,Blood and Sand
Scotch,97,Flannel Shirt
Scotch,101,Rob Roy
Scotch [Blended],34,Cameron’s Kick
Scotch [Blended],41,Penicillin
Scotch [Blended],59,Blood and Sand
Scotch [Blended],59,Blood and Sand
Scotch [Caol Ila],47a,Vasco de Gama
Scotch [Highland Malt],1,Bobby Burns
Scotch [Islay],41,Penicillin
Scotch [Islay],47b,Afonso de Albuquerque
Scotch [Islay],67,20th Century [guest post by /u/whaleodile]
Seltzer,6,Ramos Gin Fizz
Seltzer,56,Ward Eight
Seltzer,90,Sloe Gin Fizz
Seltzer,98,Harvard
Sherry,39,Sherry Cobbler
Sherry,49,Eggnog
Sherry,54,Alaska
Sherry [Amontillado],39,Sherry Cobbler
Sherry [Amontillado],102,Admiral Russel's Punch
Sherry [Amontillado],102,Admiral Russell's Punch
Sherry [Montilla],102,Admiral Russell's Punch
Soda [Club],6,Ramos Gin Fizz
Soda [Club],17,Pimm’s Cup
Soda [Club],70,Singapore Sling
Soda [Club],80,Mojito
Soda [Club],90,Sloe Gin Fizz
Soda [Club],111,Rickey [guest post by /u/GWCad]
Soda [Club],119,Golden Beautiful
St. Germain,12,Pamplemousse
St. Germain,31,Shaddock
St. Germain,60,Apertif
St. Germain,113,Muddled Mission
Strawberry,113,Muddled Mission
Sugar,103,Hot Toddy
Sugar [Brown],69,Mint Julep [guest post by /u/GWCad]
Sugar [Brown],80,Mojito
Sugar [Brown],47b,Afonso de Albuquerque
Sugar [Lisbon],102,Admiral Russell's Punch
Sugar [Powdered],6,Ramos Gin Fizz
Sugar [Powdered],30,Southside and Southern Exposure
Sugar [Powdered],69,Mint Julep [guest post by /u/GWCad]
Sugar [Powdered],90,Sloe Gin Fizz
Sugar [White],27,Daiquiri
Sugar [White],39,Sherry Cobbler
Sugar [White],49,Eggnog
Sugar [White],50,Hot Milk Punch
Sugar [White],52,Old-Fashioned
Sugar [White],56,Ward Eight
Sugar [White],61,Sazerac
Sugar [White],69,Mint Julep [guest post by /u/GWCad]
Sugar [White],80,Mojito
Sugar [White],102,Admiral Russell's Punch
Syrup [Cinnamon],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Demerara],28,Mai Tai
Syrup [Demerara],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Demerara],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Demerara],83,Tiki Edition - Three Dots & A Dash
